Serie A,Genero 1,1,1,Episodio 1,26,8.7
Serie A,Genero 1,1,2,Episodio 2,27,8.3
Serie A,Genero 1,1,3,Episodio 3,32,7.7
Serie A,Genero 1,1,4,Episodio 4,29,6.1
Serie A,Genero 1,1,5,Episodio 5,28,7.3
Serie A,Genero 1,1,6,Episodio 6,31,7.8
Serie A,Genero 1,1,7,Episodio 7,33,6.6
Serie A,Genero 1,1,8,Episodio 8,26,9.2
Serie A,Genero 1,1,9,Episodio 9,27,9.7
Serie A,Genero 1,1,10,Episodio 10,25,5.7
Serie A,Genero 1,1,11,Episodio 11,32,8.1
Serie A,Genero 1,1,12,Episodio 12,28,8.7
Serie A,Genero 1,1,13,Episodio 13,30,8.0
Serie A,Genero 1,1,14,Episodio 14,26,5.7
Serie A,Genero 1,1,15,Episodio 15,29,6.3
Serie A,Genero 1,1,16,Episodio 16,27,8.6
Serie A,Genero 1,1,17,Episodio 17,28,9.8
Serie A,Genero 1,1,18,Episodio 18,28,5.6
Serie A,Genero 1,1,19,Episodio 19,33,7.7
Serie A,Genero 1,1,20,Episodio 20,33,5.2
Serie A,Genero 1,1,21,Episodio 21,28,6.5
Serie A,Genero 1,1,22,Episodio 22,27,6.0
Serie A,Genero 1,1,23,Episodio 23,26,7.2
Serie A,Genero 1,1,24,Episodio 24,34,9.4
Serie A,Genero 1,1,25,Episodio 25,27,7.1
Serie A,Genero 1,1,26,Episodio 26,31,8.3
Serie A,Genero 1,1,27,Episodio 27,29,7.3
Serie A,Genero 1,1,28,Episodio 28,29,9.6
Serie A,Genero 1,1,29,Episodio 29,26,7.5
Serie A,Genero 1,1,30,Episodio 30,27,6.2
Serie A,Genero 1,1,31,Episodio 31,34,9.8
Serie A,Genero 1,1,32,Episodio 32,29,7.9
Serie A,Genero 1,1,33,Episodio 33,31,9.0
Serie A,Genero 1,1,34,Episodio 34,30,9.2
Serie A,Genero 1,1,35,Episodio 35,29,7.6
Serie A,Genero 1,1,36,Episodio 36,29,9.3
Serie A,Genero 1,1,37,Episodio 37,30,8.2
Serie A,Genero 1,1,38,Episodio 38,27,8.4
Serie A,Genero 1,1,39,Episodio 39,30,8.8
Serie A,Genero 1,1,40,Episodio 40,34,5.5
Serie A,Genero 1,1,41,Episodio 41,25,7.1
Serie A,Genero 1,1,42,Episodio 42,34,5.9
Serie A,Genero 1,1,43,Episodio 43,29,9.2
Serie A,Genero 1,1,44,Episodio 44,28,10.0
Serie A,Genero 1,1,45,Episodio 45,25,7.3
Serie A,Genero 1,1,46,Episodio 46,31,6.5
Serie A,Genero 1,1,47,Episodio 47,28,6.5
Serie A,Genero 1,1,48,Episodio 48,32,8.2
Serie A,Genero 1,1,49,Episodio 49,34,6.3
Serie A,Genero 1,1,50,Episodio 50,28,9.8
Serie A,Genero 1,1,51,Episodio 51,25,5.5
Serie A,Genero 1,1,52,Episodio 52,34,6.9
Serie A,Genero 1,1,53,Episodio 53,29,7.3
Serie A,Genero 1,1,54,Episodio 54,26,8.7
Serie A,Genero 1,1,55,Episodio 55,32,5.4
Serie A,Genero 1,1,56,Episodio 56,33,9.7
Serie A,Genero 1,1,57,Episodio 57,27,6.8
Serie A,Genero 1,1,58,Episodio 58,30,5.9
Serie A,Genero 1,1,59,Episodio 59,32,5.5
Serie A,Genero 1,1,60,Episodio 60,30,9.6
Serie A,Genero 1,1,61,Episodio 61,25,8.9
Serie A,Genero 1,1,62,Episodio 62,31,10.0
Serie A,Genero 1,1,63,Episodio 63,32,7.7
Serie A,Genero 1,1,64,Episodio 64,34,8.3
Serie A,Genero 1,1,65,Episodio 65,27,9.8
Serie A,Genero 1,1,66,Episodio 66,26,7.6
Serie A,Genero 1,1,67,Episodio 67,30,5.4
Serie A,Genero 1,1,68,Episodio 68,31,6.4
Serie A,Genero 1,1,69,Episodio 69,28,7.5
Serie A,Genero 1,1,70,Episodio 70,29,9.6
Serie A,Genero 1,1,71,Episodio 71,26,9.0
Serie A,Genero 1,1,72,Episodio 72,32,5.6
Serie A,Genero 1,1,73,Episodio 73,33,7.5
Serie A,Genero 1,1,74,Episodio 74,26,9.2
Serie A,Genero 1,1,75,Episodio 75,27,5.2
Serie A,Genero 1,1,76,Episodio 76,27,8.9
Serie A,Genero 1,1,77,Episodio 77,27,7.6
Serie A,Genero 1,1,78,Episodio 78,32,9.1
Serie A,Genero 1,1,79,Episodio 79,26,8.5
Serie A,Genero 1,1,80,Episodio 80,33,5.5
Serie A,Genero 1,1,81,Episodio 81,27,5.5
Serie A,Genero 1,1,82,Episodio 82,29,8.1
Serie A,Genero 1,1,83,Episodio 83,26,8.3
Serie A,Genero 1,1,84,Episodio 84,26,5.4
Serie A,Genero 1,1,85,Episodio 85,28,9.1
Serie A,Genero 1,1,86,Episodio 86,29,5.3
Serie A,Genero 1,1,87,Episodio 87,25,8.8
Serie A,Genero 1,1,88,Episodio 88,25,9.7
Serie A,Genero 1,1,89,Episodio 89,27,5.3
Serie A,Genero 1,1,90,Episodio 90,33,5.7
Serie A,Genero 1,1,91,Episodio 91,28,6.9
Serie A,Genero 1,1,92,Episodio 92,29,9.0
Serie A,Genero 1,1,93,Episodio 93,27,6.0
